Name,wikipedia,Hex,Red,Green,Blue,Hue,Saturation,Light,Saturation(HSV),Value
Blue,https://en.wikipedia.org/wiki/Blue,#0000FF,0%,0%,100%,240°,100%,50%,100%,100%
Blue (Crayola),https://en.wikipedia.org/wiki/Shades_of_blue#Blue_.28Crayola.29,#1F75FE,12%,46%,100%,217°,99%,56%,88%,100%
Blue (Munsell),https://en.wikipedia.org/wiki/Shades_of_blue#Blue_.28Munsell.29,#0093AF,0%,58%,69%,190°,100%,34%,100%,69%
Blue (NCS),https://en.wikipedia.org/wiki/Shades_of_blue#Blue_.28NCS.29,#0087BD,0%,53%,74%,197°,100%,37%,100%,74%
Blue (Pantone),https://en.wikipedia.org/wiki/Shades_of_blue#Blue_.28Pantone.29,#0018A8,0%,9%,66%,231°,100%,33%,100%,66%
Blue (pigment),https://en.wikipedia.org/wiki/Shades_of_blue#Blue_.28CMYK.29_.28pigment_blue.29,#333399,20%,20%,60%,240°,50%,40%,67%,60%
Blue (RYB),https://en.wikipedia.org/wiki/RYB_color_model,#0247FE,1%,28%,100%,224°,99%,50%,99%,100%
Blue Bell,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#A2A2D0,64%,64%,82%,240°,33%,73%,22%,82%
Blue Bolt,https://en.wikipedia.org/wiki/List_of_Crayola_marker_colors#Standard_colors,#00B9FB,0%,73%,98%,196°,100%,49%,100%,98%
Blue-gray,https://en.wikipedia.org/wiki/Blue-gray,#6699CC,40%,60%,80%,210°,50%,60%,50%,80%
Blue-green,https://en.wikipedia.org/wiki/Blue-green,#0D98BA,5%,60%,73%,192°,87%,39%,93%,73%
Blue Jeans,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_.27n_Tails,#5DADEC,36%,68%,93%,206°,79%,65%,61%,93%
Blue Lagoon,https://en.wikipedia.org/wiki/List_of_Crayola_marker_colors#Standard_colors,#ACE5EE,67%,90%,93%,188°,66%,80%,28%,93%
Blue-magenta violet,https://en.wikipedia.org/wiki/Magenta,#553592,33%,21%,57%,261°,47%,39%,64%,57%
Blue sapphire,https://en.wikipedia.org/wiki/Sapphire_(color)#Blue_sapphire,#126180,7%,38%,50%,197°,75%,29%,86%,50%
Blue-violet,https://en.wikipedia.org/wiki/Indigo#Deep_indigo_.28web_color_blue-violet.29,#8A2BE2,54%,17%,89%,271°,76%,53%,81%,89%
Blue yonder,https://en.wikipedia.org/wiki/Air_Force_blue#Blue_yonder,#5072A7,31%,45%,65%,217°,35%,48%,52%,65%
Blueberry,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Magic_Scent,#4F86F7,31%,53%,97%,220°,91%,64%,68%,97%
Bluebonnet,https://en.wikipedia.org/wiki/Bluebonnet_(plant),#1C1CF0,11%,11%,94%,240°,88%,53%,88%,94%
Blush,https://en.wikipedia.org/wiki/Red-violet#Blush,#DE5D83,87%,36%,51%,342°,66%,62%,58%,87%
Bole,https://en.wikipedia.org/wiki/Bole_(color),#79443B,47%,27%,23%,9°,34%,35%,51%,47%
Bondi blue,https://en.wikipedia.org/wiki/Bondi_blue,#0095B6,0%,58%,71%,191°,100%,36%,100%,71%
Bone,https://en.wikipedia.org/wiki/Shades_of_white#Bone,#E3DAC9,89%,85%,79%,39°,32%,84%,11%,89%
Booger Buster,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silly_Scents,#DDE26A,87%,89%,42%,63°,67%,65%,53%,89%
Boston University Red,https://en.wikipedia.org/wiki/Crimson#Boston_University_Red,#CC0000,80%,0%,0%,0°,100%,40%,100%,80%
Bottle green,https://en.wikipedia.org/wiki/Shades_of_green#Bottle_green,#006A4E,0%,42%,31%,164°,100%,21%,100%,42%
Boysenberry,https://en.wikipedia.org/wiki/Boysenberry_(color),#873260,53%,20%,38%,328°,46%,36%,63%,53%
Brandeis blue,https://en.wikipedia.org/wiki/Brandeis_blue,#0070FF,0%,44%,100%,214°,100%,50%,100%,100%
Brass,https://en.wikipedia.org/wiki/Brass,#B5A642,71%,65%,26%,52°,47%,48%,64%,71%
Brick red,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#CB4154,80%,25%,33%,352°,57%,53%,68%,80%
Bright cerulean,https://en.wikipedia.org/wiki/Cerulean#Bright_cerulean,#1DACD6,11%,67%,84%,194°,76%,48%,86%,84%
Bright green,https://en.wikipedia.org/wiki/Shades_of_green#Bright_green,#66FF00,40%,100%,0%,96°,100%,50%,100%,100%
Bright lavender,https://en.wikipedia.org/wiki/Lavender_(color)#Bright_lavender_.28light_floral_lavender.29_.28lavender_bandana.29,#BF94E4,75%,58%,89%,272°,60%,74%,35%,89%
Bright lilac,https://en.wikipedia.org/wiki/Lilac_(color)#Bright_lilac,#D891EF,85%,57%,94%,285°,75%,75%,39%,94%
Bright maroon,https://en.wikipedia.org/wiki/Maroon_(color)#Bright_maroon,#C32148,76%,13%,28%,346°,71%,45%,83%,76%
Bright navy blue,https://en.wikipedia.org/wiki/Navy_blue#Bright_navy_blue,#1974D2,10%,45%,82%,210°,79%,46%,88%,82%
Bright pink,https://en.wikipedia.org/wiki/Shades_of_pink#Bright_pink,#FF007F,100%,0%,50%,330°,100%,50%,100%,100%
Bright turquoise,https://en.wikipedia.org/wiki/Turquoise_(color)#Bright_Turquoise,#08E8DE,3%,91%,87%,177°,93%,47%,97%,91%
Bright ube,https://en.wikipedia.org/wiki/Lavender_(color)#Bright_.C3.BAbe,#D19FE8,82%,62%,91%,281°,61%,77%,31%,91%
Bright Yellow (Crayola),https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_.27n_Tails,#FFAA1D,100%,67%,11%,37°,100%,56%,89%,100%
Brilliant azure,https://en.wikipedia.org/wiki/Azure_(color),#3399FF,20%,60%,100%,210°,100%,60%,80%,100%
Brilliant lavender,https://en.wikipedia.org/wiki/Lavender_(color)#Brilliant_lavender_.28electric_lavender.29,#F4BBFF,96%,73%,100%,290°,100%,87%,27%,100%
Brilliant rose,https://en.wikipedia.org/wiki/Rose_(color)#Brilliant_rose,#FF55A3,100%,33%,64%,332°,100%,67%,67%,100%
Brink pink,https://en.wikipedia.org/wiki/Rose_(color)#Brink_pink,#FB607F,98%,38%,50%,348°,95%,68%,62%,98%
British racing green,https://en.wikipedia.org/wiki/British_racing_green,#004225,0%,26%,15%,154°,100%,13%,100%,26%
Bronze,https://en.wikipedia.org/wiki/Bronze_(color),#CD7F32,80%,50%,20%,30°,61%,50%,76%,80%
Bronze Yellow,https://en.wikipedia.org/wiki/List_of_Crayola_colored_pencil_colors#Standard_colors,#737000,45%,44%,0%,58°,100%,23%,100%,45%
Brown (traditional),https://en.wikipedia.org/wiki/Brown,#964B00,59%,29%,0%,30°,100%,29%,100%,59%
Brown (web),https://en.wikipedia.org/wiki/Brown#Red-brown_.28web_color_.22brown.22.29,#A52A2A,65%,16%,16%,0°,59%,41%,75%,65%
Brown-nose,https://en.wikipedia.org/wiki/Variations_of_brown#Brown-nose,#6B4423,42%,27%,14%,28°,51%,28%,67%,42%
Brown Sugar,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_.27n_Tails,#AF6E4D,69%,43%,30%,20°,39%,49%,56%,69%
Brown Yellow,,#cc9966,80%,60%,40%,30°,50%,60%,50%,80%
Brunswick green,https://en.wikipedia.org/wiki/Shades_of_green#Brunswick_green,#1B4D3E,11%,30%,24%,162°,48%,20%,65%,30%
Bubble gum,https://en.wikipedia.org/wiki/List_of_Crayola_colored_pencil_colors#Standard_colors,#FFC1CC,100%,76%,80%,349°,100%,88%,24%,100%
Bubbles,https://en.wikipedia.org/wiki/Baby_blue#Bubbles,#E7FEFF,91%,100%,100%,183°,100%,95%,9%,100%
Bud green,https://en.wikipedia.org/wiki/Spring_bud#Bud_green,#7BB661,48%,71%,38%,102°,37%,55%,47%,71%
Buff,https://en.wikipedia.org/wiki/Buff_(colour),#F0DC82,94%,86%,51%,49°,79%,73%,46%,94%
Bulgarian rose,https://en.wikipedia.org/wiki/Rose_(color)#Bulgarian_Rose,#480607,28%,2%,3%,359°,85%,15%,92%,28%
Burgundy,https://en.wikipedia.org/wiki/Burgundy_(color),#800020,50%,0%,13%,345°,100%,25%,100%,50%
Burlywood,https://en.wikipedia.org/wiki/X11_color_names#Color_name_charts,#DEB887,87%,72%,53%,34°,57%,70%,39%,87%
Burnished Brown,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#A17A74,63%,48%,45%,8°,19%,54%,28%,63%
Burnt orange,https://en.wikipedia.org/wiki/Shades_of_orange#Burnt_orange,#CC5500,80%,33%,0%,25°,100%,40%,100%,80%
Burnt sienna,https://en.wikipedia.org/wiki/Burnt_sienna,#E97451,91%,45%,32%,14°,78%,62%,65%,91%
Burnt umber,https://en.wikipedia.org/wiki/Burnt_umber,#8A3324,54%,20%,14%,9°,59%,34%,74%,54%
Byzantine,https://en.wikipedia.org/wiki/Byzantium_(color)#Byzantine,#BD33A4,74%,20%,64%,311°,58%,47%,73%,74%
Byzantium,https://en.wikipedia.org/wiki/Byzantium_(color),#702963,44%,16%,39%,311°,46%,30%,63%,44%
Cadet,https://en.wikipedia.org/wiki/Cadet_grey#Cadet,#536872,33%,41%,45%,199°,16%,39%,27%,45%
Cadet blue,https://en.wikipedia.org/wiki/Cadet_grey#Cadet_blue,#5F9EA0,37%,62%,63%,182°,25%,50%,41%,63%
Cadet grey,https://en.wikipedia.org/wiki/Cadet_grey,#91A3B0,57%,64%,69%,205°,16%,63%,18%,69%
Cadmium green,https://en.wikipedia.org/wiki/Cadmium_pigments,#006B3C,0%,42%,24%,154°,100%,21%,100%,42%
Cadmium orange,https://en.wikipedia.org/wiki/Cadmium_pigments,#ED872D,93%,53%,18%,28°,84%,55%,81%,93%
Cadmium red,https://en.wikipedia.org/wiki/Cadmium_pigments,#E30022,89%,0%,13%,351°,100%,45%,100%,89%
Cadmium yellow,https://en.wikipedia.org/wiki/Cadmium_pigments,#FFF600,100%,96%,0%,58°,100%,50%,100%,100%
Café au lait,https://en.wikipedia.org/wiki/Coffee_(color)#Caf.C3.A9_au_Lait,#A67B5B,65%,48%,36%,26°,30%,50%,45%,65%
Café noir,https://en.wikipedia.org/wiki/Coffee_(color)#Caf.C3.A9_Noir,#4B3621,29%,21%,13%,30°,39%,21%,56%,29%
Cal Poly Pomona green,https://en.wikipedia.org/wiki/Shades_of_green#Cal_Poly_green,#1E4D2B,12%,30%,17%,137°,44%,21%,61%,30%
Cambridge Blue,https://en.wikipedia.org/wiki/Cambridge_Blue_(colour),#A3C1AD,64%,76%,68%,140°,19%,70%,16%,76%
Camel,https://en.wikipedia.org/wiki/Camel_(color)#Camel,#C19A6B,76%,60%,42%,33°,41%,59%,45%,76%
Cameo pink,https://en.wikipedia.org/wiki/Shades_of_pink#Cameo_pink,#EFBBCC,94%,73%,80%,340°,62%,84%,22%,94%
Camouflage green,https://en.wikipedia.org/wiki/Chartreuse_(color)#Camouflage_green,#78866B,47%,53%,42%,91°,11%,47%,20%,53%
Canary,https://en.wikipedia.org/wiki/History_of_Crayola_crayons#Crayola_No._64,#FFFF99,100%,100%,60%,60°,100%,80%,40%,100%
Canary yellow,https://en.wikipedia.org/wiki/Shades_of_yellow#Yellow_.28CMYK.29_.28process_yellow.29_.28canary_yellow.29,#FFEF00,100%,94%,0%,56°,100%,50%,100%,100%
Candy apple red,https://en.wikipedia.org/wiki/Candy_apple_red_(color),#FF0800,100%,3%,0%,2°,100%,50%,100%,100%
Candy pink,https://en.wikipedia.org/wiki/Candy_apple_red_(color)#Candy_pink,#E4717A,89%,44%,48%,355°,68%,67%,50%,89%
Capri,https://en.wikipedia.org/wiki/Deep_sky_blue,#00BFFF,0%,75%,100%,195°,100%,50%,100%,100%
Caput mortuum,https://en.wikipedia.org/wiki/Caput_mortuum,#592720,35%,15%,13%,7°,47%,24%,64%,35%
Cardinal,https://en.wikipedia.org/wiki/Cardinal_(color),#C41E3A,77%,12%,23%,350°,73%,44%,85%,77%
Caribbean green,https://en.wikipedia.org/wiki/Spring_green#Caribbean_green,#00CC99,0%,80%,60%,165°,100%,40%,100%,80%
Carmine,https://en.wikipedia.org/wiki/Carmine_(color),#960018,59%,0%,9%,350°,100%,29%,100%,59%
Carmine (M&P),https://en.wikipedia.org/wiki/Carmine_(color)#Rich_carmine,#D70040,84%,0%,25%,342°,100%,42%,100%,84%
Carmine pink,https://en.wikipedia.org/wiki/Carmine_(color)#Carmine_pink,#EB4C42,92%,30%,26%,4°,81%,59%,72%,92%
Carmine red,https://en.wikipedia.org/wiki/Carmine_(color)#Carmine_Red,#FF0038,100%,0%,22%,347°,100%,50%,100%,100%
Carnation pink,https://en.wikipedia.org/wiki/Carnation_pink,#FFA6C9,100%,65%,79%,336°,100%,83%,35%,100%
Carnelian,https://en.wikipedia.org/wiki/Carnelian_(color),#B31B1B,70%,11%,11%,0°,74%,40%,85%,70%
Carolina blue,https://en.wikipedia.org/wiki/Carolina_blue,#56A0D3,34%,63%,83%,204°,59%,58%,59%,83%
Carrot orange,https://en.wikipedia.org/wiki/Shades_of_orange#Carrot_orange,#ED9121,93%,57%,13%,33°,85%,53%,86%,93%
Castleton green,https://en.wikipedia.org/wiki/Shades_of_green#Castleton_green,#00563F,0%,34%,25%,164°,100%,17%,100%,34%
Catalina blue,https://en.wikipedia.org/wiki/Shades_of_blue#Catalina_blue,#062A78,2%,16%,47%,221°,90%,25%,95%,47%
Catawba,https://en.wikipedia.org/wiki/Catawba_(grape)#Catawba_.28color.29,#703642,44%,21%,26%,348°,35%,33%,52%,44%
Cedar Chest,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Magic_Scent,#C95A49,79%,35%,29%,8°,54%,54%,64%,79%
Ceil,https://en.wikipedia.org/wiki/Variations_of_blue#Ceil,#92A1CF,57%,63%,81%,225°,39%,69%,29%,81%
Celadon,https://en.wikipedia.org/wiki/Shades_of_green#Celadon,#ACE1AF,67%,88%,69%,123°,47%,78%,24%,88%
Celadon blue,https://en.wikipedia.org/wiki/Celadon_(color)#Celadon_Blue,#007BA7,0%,48%,65%,196°,100%,33%,100%,65%
Celadon green,https://en.wikipedia.org/wiki/Shades_of_green#Celadon_green,#2F847C,18%,52%,49%,174°,47%,35%,64%,52%
Celeste,https://en.wikipedia.org/wiki/Sky_Blue#Celeste,#B2FFFF,70%,100%,100%,180°,100%,85%,30%,100%
Celestial blue,https://en.wikipedia.org/wiki/Azure_(color)#Celestial_blue,#4997D0,29%,59%,82%,205°,59%,55%,65%,82%
Cerise,https://en.wikipedia.org/wiki/Cerise_(color),#DE3163,87%,19%,39%,343°,72%,53%,78%,87%
Cerise pink,https://en.wikipedia.org/wiki/Cerise_(color)#Cerise_pink,#EC3B83,93%,23%,51%,336°,82%,58%,75%,93%
Cerulean,https://en.wikipedia.org/wiki/Cerulean,#007BA7,0%,48%,65%,196°,100%,33%,100%,65%
Cerulean blue,https://en.wikipedia.org/wiki/Cerulean#Cerulean_blue,#2A52BE,16%,32%,75%,224°,64%,45%,78%,75%
Cerulean frost,https://en.wikipedia.org/wiki/Cerulean#Cerulean_frost,#6D9BC3,43%,61%,76%,208°,42%,60%,44%,76%
CG Blue,https://en.wikipedia.org/wiki/CG_Blue,#007AA5,0%,48%,65%,196°,100%,32%,100%,65%
CG Red,https://en.wikipedia.org/wiki/CG_Red,#E03C31,88%,24%,19%,4°,74%,54%,78%,88%
Chamoisee,https://en.wikipedia.org/wiki/Chamoisee,#A0785A,63%,47%,35%,26°,28%,49%,44%,63%
Champagne,https://en.wikipedia.org/wiki/Champagne_(color)#Champagne,#F7E7CE,97%,91%,81%,37°,72%,89%,17%,97%
Champagne pink,https://en.wikipedia.org/wiki/Shades_of_pink#Other_notable_pink_colors,#F1DDCF,95%,87%,81%,25°,55%,88%,14%,95%
Charcoal,https://en.wikipedia.org/wiki/Charcoal_(color),#36454F,21%,27%,31%,204°,19%,26%,32%,31%
Charleston green,https://en.wikipedia.org/wiki/Shades_of_black_(colors)#Charleston_green,#232B2B,14%,17%,17%,180°,10%,15%,19%,17%
Charm pink,https://en.wikipedia.org/wiki/Shades_of_pink#Charm_pink,#E68FAC,90%,56%,67%,340°,64%,73%,38%,90%
Chartreuse (traditional),https://en.wikipedia.org/wiki/Chartreuse_(color),#DFFF00,87%,100%,0%,68°,100%,50%,100%,100%
Chartreuse (web),https://en.wikipedia.org/wiki/Chartreuse_(color),#7FFF00,50%,100%,0%,90°,100%,50%,100%,100%
Cherry,https://en.wikipedia.org/wiki/Cerise_(color),#DE3163,87%,19%,39%,343°,72%,53%,78%,87%
Cherry blossom pink,https://en.wikipedia.org/wiki/Shades_of_pink#Cherry_blossom_pink,#FFB7C5,100%,72%,77%,348°,100%,86%,28%,100%
Chestnut,https://en.wikipedia.org/wiki/Chestnut_(color),#954535,58%,27%,21%,10°,48%,40%,64%,58%
China pink,https://en.wikipedia.org/wiki/Shades_of_pink#China_pink,#DE6FA1,87%,44%,63%,333°,63%,65%,50%,87%
China rose,https://en.wikipedia.org/wiki/Rose_(color)#China_rose,#A8516E,66%,32%,43%,340°,35%,49%,52%,66%
Chinese red,https://en.wikipedia.org/wiki/Vermilion#Chinese_red_2,#AA381E,67%,22%,12%,11°,70%,39%,82%,67%
Chinese violet,https://en.wikipedia.org/wiki/Shades_of_violet#Chinese_violet,#856088,52%,38%,53%,296°,17%,45%,29%,53%
Chlorophyll green,https://en.wikipedia.org/wiki/Chlorophyll,#4AFF00,29%,100%,0%,103°,100%,50%,100%,100%
Chocolate (traditional),https://en.wikipedia.org/wiki/Chocolate_(color),#7B3F00,48%,25%,0%,31°,100%,24%,100%,48%
Chocolate (web),https://en.wikipedia.org/wiki/Chocolate_(color)#Variations_of_chocolate,#D2691E,82%,41%,12%,25°,75%,47%,86%,82%
Chrome yellow,https://en.wikipedia.org/wiki/Chrome_yellow,#FFA700,100%,65%,0%,39°,100%,50%,100%,100%
Cinereous,https://en.wikipedia.org/wiki/Cinereous,#98817B,60%,51%,48%,12°,12%,54%,19%,60%
Cinnabar,https://en.wikipedia.org/wiki/Vermilion,#E34234,89%,26%,20%,5°,76%,55%,77%,89%
Cinnamon; citation needed,https://en.wikipedia.org/wiki/Cinnamon; https://en.wikipedia.org/wiki/Wikipedia:Citation_needed,#D2691E,82%,41%,12%,25°,75%,47%,86%,82%
Cinnamon Satin,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#CD607E,80%,38%,49%,343°,52%,59%,53%,80%
Citrine,https://en.wikipedia.org/wiki/Citrine_(colour),#E4D00A,89%,82%,4%,54°,92%,47%,96%,89%
Citron,https://en.wikipedia.org/wiki/Lemon_(color)#Citron,#9FA91F,62%,66%,12%,64°,69%,39%,82%,66%
Claret,https://en.wikipedia.org/wiki/Wine_(color)#Claret,#7F1734,50%,9%,20%,343°,69%,29%,82%,50%
Classic rose,https://en.wikipedia.org/wiki/Rose_(color)#Classic_rose,#FBCCE7,98%,80%,91%,326°,85%,89%,19%,98%
Cobalt Blue,https://en.wikipedia.org/wiki/Cobalt_blue,#0047AB,0%,28%,67%,215°,100%,34%,100%,67%
Cocoa brown,https://en.wikipedia.org/wiki/Chocolate_(color)#Variations_of_chocolate,#D2691E,82%,41%,12%,25°,75%,47%,86%,82%
Coconut,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Magic_Scent,#965A3E,59%,35%,24%,19°,42%,42%,59%,59%
Coffee,https://en.wikipedia.org/wiki/Coffee_(color),#6F4E37,44%,31%,22%,25°,34%,33%,50%,44%
Columbia Blue,https://en.wikipedia.org/wiki/Columbia_Blue,#C4D8E2,77%,85%,89%,200°,34%,83%,13%,89%
Congo pink,https://en.wikipedia.org/wiki/Shades_of_pink#Congo_pink,#F88379,97%,51%,47%,5°,90%,72%,51%,97%
Cool Black,https://en.wikipedia.org/wiki/Cool_Black,#002E63,0%,18%,39%,212°,100%,19%,100%,38%
Cool grey,https://en.wikipedia.org/wiki/Cool_grey,#8C92AC,55%,57%,67%,229°,16%,61%,19%,67%
Copper,https://en.wikipedia.org/wiki/Copper_(color),#B87333,72%,45%,20%,29°,57%,46%,72%,72%
Copper (Crayola),https://en.wikipedia.org/wiki/Copper_(color)#Variations_of_copper,#DA8A67,85%,54%,40%,18°,61%,63%,53%,85%
Copper penny,https://en.wikipedia.org/wiki/Copper_(color)#Copper_penny,#AD6F69,68%,44%,41%,5°,29%,55%,39%,68%
Copper red,https://en.wikipedia.org/wiki/Copper_(color)#Copper_red,#CB6D51,80%,43%,32%,14°,54%,56%,60%,80%
Copper rose,https://en.wikipedia.org/wiki/Copper_(color)#Copper_rose,#996666,60%,40%,40%,0°,20%,50%,33%,60%
Coquelicot,https://en.wikipedia.org/wiki/Coquelicot,#FF3800,100%,22%,0%,13°,100%,50%,100%,100%
Coral,https://en.wikipedia.org/wiki/Coral_(color),#FF7F50,100%,50%,31%,16°,100%,66%,69%,100%
Coral pink,https://en.wikipedia.org/wiki/Coral_(color)#Coral_pink,#F88379,97%,51%,47%,5°,90%,72%,51%,97%
Coral red,https://en.wikipedia.org/wiki/Coral_(color)#Coral_red,#FF4040,100%,25%,25%,0°,100%,63%,75%,100%
Coral Reef,https://en.wikipedia.org/wiki/List_of_Crayola_marker_colors#Standard_colors,#FD7C6E,99%,49%,43%,6°,97%,71%,57%,99%
Cordovan,https://en.wikipedia.org/wiki/Cordovan_(color),#893F45,54%,25%,27%,355°,37%,39%,54%,54%
Corn,https://en.wikipedia.org/wiki/Corn_(color),#FBEC5D,98%,93%,36%,54°,95%,67%,63%,98%
Cornell Red,https://en.wikipedia.org/wiki/Shades_of_red#Cornell_Red,#B31B1B,70%,11%,11%,0°,74%,40%,85%,70%
Cornflower blue,https://en.wikipedia.org/wiki/Cornflower_blue,#6495ED,39%,58%,93%,219°,79%,66%,58%,93%
Cornsilk,https://en.wikipedia.org/wiki/Shades_of_white#Cornsilk,#FFF8DC,100%,97%,86%,48°,100%,93%,14%,100%
Cosmic Cobalt,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#2E2D88,18%,18%,53%,241°,50%,36%,67%,53%
Cosmic latte,https://en.wikipedia.org/wiki/Cosmic_latte,#FFF8E7,100%,97%,91%,43°,100%,95%,9%,100%
Coyote brown,https://en.wikipedia.org/wiki/Coyote_brown,#81613C,51%,38%,24%,62°,37%,37%,52%,51%
Cotton candy,https://en.wikipedia.org/wiki/Variations_of_pink#Cotton_candy,#FFBCD9,100%,74%,85%,334°,100%,87%,26%,100%
Cream,https://en.wikipedia.org/wiki/Cream_(colour),#FFFDD0,100%,99%,82%,57°,100%,91%,18%,100%
Crimson,https://en.wikipedia.org/wiki/Crimson,#DC143C,86%,8%,24%,348°,83%,47%,91%,86%
Crimson glory,https://en.wikipedia.org/wiki/Crimson#Crimson_glory,#BE0032,75%,0%,20%,344°,100%,37%,100%,75%
Crimson red,https://en.wikipedia.org/wiki/Crimson,#990000,60%,0%,0%,0°,100%,30%,100%,60%
Cultured,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Pearl_Brite,#F5F5F5,96%,96%,96%,0°,0%,96%,0%,96%
Cyan,https://en.wikipedia.org/wiki/Cyan,#00FFFF,0%,100%,100%,180°,100%,50%,100%,100%
Cyan azure,https://en.wikipedia.org/wiki/Shades_of_cyan,#4E82B4,31%,51%,71%,209°,41%,51%,57%,71%
Cyan-blue azure,https://en.wikipedia.org/wiki/Shades_of_cyan,#4682BF,27%,51%,75%,210°,49%,51%,63%,75%
Cyan cobalt blue,https://en.wikipedia.org/wiki/Shades_of_cyan,#28589C,16%,35%,61%,215°,59%,38%,74%,61%
Cyan cornflower blue,https://en.wikipedia.org/wiki/Shades_of_cyan,#188BC2,9%,55%,76%,199°,78%,43%,88%,76%
Cyan (process),https://en.wikipedia.org/wiki/Cyan#Process_cyan_.28pigment_cyan.29_.28printer.27s_cyan.29,#00B7EB,0%,72%,92%,193°,100%,46%,100%,92%
Cyber grape,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Metallic_FX,#58427C,35%,26%,49%,263°,31%,37%,47%,49%
Cyber yellow,https://en.wikipedia.org/wiki/Shades_of_yellow#Cyber_yellow,#FFD300,100%,83%,0%,50°,100%,50%,100%,100%
Cyclamen,https://en.wikipedia.org/wiki/Cyclamen_(color),#F56FA1,96%,44%,63%,0°,87%,70%,54%,96%
Daffodil,https://en.wikipedia.org/wiki/Shades_of_yellow#Daffodil,#FFFF31,100%,100%,19%,60°,100%,60%,81%,100%
Dandelion,https://en.wikipedia.org/wiki/Shades_of_yellow#Dandelion,#F0E130,94%,88%,19%,55°,86%,56%,80%,94%
Dark blue,https://en.wikipedia.org/wiki/Shades_of_blue#Dark_blue,#00008B,0%,0%,55%,240°,100%,27%,100%,55%
Dark blue-gray,https://en.wikipedia.org/wiki/Blue-gray#Dark_blue-gray,#666699,40%,40%,60%,240°,20%,50%,33%,60%
Dark brown,https://en.wikipedia.org/wiki/Variations_of_brown#Dark_brown,#654321,40%,26%,13%,30°,51%,26%,67%,40%
Dark brown-tangelo,https://en.wikipedia.org/wiki/Variations_of_brown,#88654E,53%,40%,31%,24°,27%,42%,43%,53%
Dark byzantium,https://en.wikipedia.org/wiki/Byzantium_(color)#Dark_byzantium,#5D3954,36%,22%,33%,315°,24%,29%,39%,36%
Dark candy apple red,https://en.wikipedia.org/wiki/Candy_apple_red_(color)#Dark_candy_apple_red,#A40000,64%,0%,0%,0°,100%,32%,100%,64%
Dark cerulean,https://en.wikipedia.org/wiki/Cerulean#Dark_cerulean,#08457E,3%,27%,49%,209°,88%,26%,94%,49%
Dark chestnut,https://en.wikipedia.org/wiki/Chestnut_(color)#Dark_chestnut,#986960,60%,41%,38%,10°,23%,49%,37%,60%
Dark coral,https://en.wikipedia.org/wiki/Coral_(color)#Dark_coral,#CD5B45,80%,36%,27%,10°,58%,54%,66%,80%
Dark cyan,https://en.wikipedia.org/wiki/Variations_of_cyan#Dark_cyan,#008B8B,0%,55%,55%,180°,100%,27%,100%,55%
Dark electric blue,https://en.wikipedia.org/wiki/Electric_blue_(color)#Dark_electric_blue,#536878,33%,41%,47%,206°,18%,40%,31%,47%
Dark goldenrod,https://en.wikipedia.org/wiki/Goldenrod_(color)#Dark_goldenrod,#B8860B,72%,53%,4%,43°,89%,38%,94%,72%
Dark gray (X11),https://en.wikipedia.org/wiki/Variations_of_gray#Dark_medium_gray_.28dark_gray_.28X11.29.29,#A9A9A9,66%,66%,66%,—°,0%,66%,0%,66%
Dark green,https://en.wikipedia.org/wiki/Shades_of_green#Dark_green,#013220,0%,20%,13%,158°,96%,10%,98%,20%
Dark green (X11),https://en.wikipedia.org/wiki/Shades_of_green#Dark_green_.28X11.29,#006400,0%,39%,0%,120°,100%,20%,100%,39%
Dark gunmetal,https://en.wikipedia.org/wiki/Shades_of_grey#Dark_Gunmetal,#1F262A,12%,15%,16%,202°,15%,14%,26%,16%
Dark imperial blue,https://en.wikipedia.org/wiki/Indigo#Dark_imperial_blue,#00416A,0%,25%,42%,203°,100%,21%,100%,42%
Dark imperial blue,https://en.wikipedia.org/wiki/Indigo#Dark_imperial_blue,#00147E,0%,8%,49%,183°,100%,25%,100%,40%
Dark jungle green,https://en.wikipedia.org/wiki/Jungle_green#Dark_jungle_green,#1A2421,10%,14%,13%,162°,16%,12%,28%,14%
Dark khaki,https://en.wikipedia.org/wiki/Khaki_(color)#Dark_khaki,#BDB76B,74%,72%,42%,56°,38%,58%,43%,74%
Dark lava,https://en.wikipedia.org/wiki/Lava_(color)#Dark_lava,#483C32,28%,24%,20%,27°,18%,24%,31%,28%
